5.12  1.096e-26  122.00    11.57 
5.12  1.202e-26  134.41    13.08 
5.12  1.318e-26  147.40    14.70 
5.12  1.445e-26  161.42    16.42 
5.12  1.585e-26  174.60    18.26 
5.12  1.738e-26  188.76    20.25 
5.12  1.905e-26  203.60    22.38 
5.12  2.089e-26  219.02    24.70 
5.12  2.291e-26  233.67    27.23 
5.12  2.512e-26  248.39    29.95 
5.12  2.754e-26  263.62    32.88 
5.12  3.020e-26  278.22    36.04 
5.12  3.311e-26  293.75    39.47 
5.12  3.631e-26  309.64    43.24 
5.12  3.981e-26  325.63    47.39 
5.12  4.365e-26  341.79    51.97 
5.12  4.786e-26  359.38    56.95 
5.12  5.248e-26  377.57    61.92 
5.12  5.754e-26  396.31    66.53 
5.12  6.310e-26  412.43    70.79 
5.12  6.918e-26  427.59    75.37 
5.12  7.586e-26  443.41    80.22 
5.12  8.318e-26  459.95    85.37 
5.12  9.120e-26  476.79    90.97 
5.12  1.000e-25  492.22    96.82 
5.12  1.096e-25  507.99    102.94 
5.12  1.202e-25  524.83    109.42 
5.12  1.318e-25  542.88    115.77 
5.12  1.445e-25  560.77    122.19 
5.12  1.585e-25  578.15    129.13 
5.12  1.738e-25  594.40    136.06 
5.12  1.905e-25  611.19    142.59 
5.12  2.089e-25  627.11    149.02 
5.12  2.291e-25  642.50    155.62 
5.12  2.512e-25  656.21    162.44 
5.12  2.754e-25  670.39    169.83 
5.12  3.020e-25  684.86    177.60 
5.12  3.311e-25  701.23    184.96 
5.12  3.631e-25  718.19    191.03 
5.12  3.981e-25  735.51    197.34 
5.12  4.365e-25  753.49    203.16 
5.12  4.786e-25  771.72    209.43 
5.12  5.248e-25  789.04    216.00 
5.12  5.754e-25  803.32    222.55 
5.12  6.310e-25  817.16    229.62 
5.12  6.918e-25  831.28    236.98 
5.12  7.586e-25  844.71    244.64 
5.12  8.318e-25  857.49    252.68 
5.12  9.120e-25  869.26    261.13 
5.12  1.000e-24  882.14    270.07 
5.12  1.096e-24  893.54    278.73 
5.12  1.202e-24  905.26    286.73 
5.12  1.318e-24  916.04    295.00 
5.12  1.445e-24  927.04    303.68 
5.12  1.585e-24  936.44    312.45 
5.12  1.738e-24  945.32    321.19 
5.12  1.905e-24  954.21    330.17 
5.12  2.089e-24  962.54    339.59 
5.12  2.291e-24  970.37    349.44 
5.12  2.512e-24  977.15    359.34 
5.12  2.754e-24  983.35    369.36 
5.12  3.020e-24  988.97    379.55 
5.12  3.311e-24  993.61    390.20 
5.12  3.631e-24  998.07    401.05 
5.12  3.981e-24  1002.43    411.77 
5.12  4.365e-24  1006.54    422.44 
5.12  4.786e-24  1010.37    433.44 
5.12  5.248e-24  1014.58    444.97 
5.12  5.754e-24  1018.39    457.10 
5.12  6.310e-24  1021.85    468.66 
5.12  6.918e-24  1025.64    478.29 
5.12  7.586e-24  1028.60    488.72 
5.12  8.318e-24  1031.84    499.81 
5.12  9.120e-24  1035.51    511.31 
5.12  1.000e-23  1039.39    523.72 
5.12  1.096e-23  1042.54    536.41 
5.12  1.202e-23  1045.27    550.26 
5.12  1.318e-23  1048.11    563.68 
5.12  1.445e-23  1050.09    577.73 
5.12  1.585e-23  1051.12    591.50 
5.12  1.738e-23  1052.24    600.64 
5.12  1.905e-23  1053.57    613.05 
5.12  2.089e-23  1054.94    624.83 
5.12  2.291e-23  1055.73    636.20 
5.12  2.512e-23  1056.67    648.30 
5.12  2.754e-23  1057.81    661.15 
5.12  3.020e-23  1059.17    673.66 
5.12  3.311e-23  1060.39    686.40 
5.12  3.631e-23  1061.27    696.01 
5.12  3.981e-23  1061.70    707.80 
5.12  4.365e-23  1062.02    718.52 
5.12  4.786e-23  1062.37    730.93 
5.12  5.248e-23  1062.77    743.23 
5.12  5.754e-23  1063.20    756.81 
5.12  6.310e-23  1063.60    769.02 
5.12  6.918e-23  1063.83    779.88 
5.12  7.586e-23  1064.07    791.07 
5.12  8.318e-23  1064.07    802.09 
5.12  9.120e-23  1064.07    812.50 
5.12  1.000e-22  1064.07    821.67 
5.12  1.096e-22  1064.07    831.43 
5.12  1.202e-22  1064.07    840.43 
5.12  1.318e-22  1064.07    849.40 
5.12  1.445e-22  1064.07    858.33 
5.12  1.585e-22  1064.07    866.84 
5.12  1.738e-22  1064.07    873.33 
5.12  1.905e-22  1064.07    880.77 
5.12  2.089e-22  1064.07    888.12 
5.12  2.291e-22  1064.07    895.39 
5.12  2.512e-22  1064.07    901.18 
5.12  2.754e-22  1064.07    906.93 
5.12  3.020e-22  1064.07    911.03 
5.12  3.311e-22  1064.07    915.45 
5.12  3.631e-22  1064.07    920.45 
5.12  3.981e-22  1064.07    926.37 
5.12  4.365e-22  1064.07    932.49 
5.12  4.786e-22  1064.07    937.71 
5.12  5.248e-22  1064.07    943.51 
5.12  5.754e-22  1064.07    949.39 
5.12  6.310e-22  1064.07    955.05 
5.12  6.918e-22  1064.07    961.47 
5.12  7.586e-22  1064.07    967.87 
5.12  8.318e-22  1064.07    974.07 
5.12  9.120e-22  1064.07    979.33 
5.12  1.000e-21  1064.07    985.37 
5.37  1.000e-29  0.26    0.26 
5.37  1.096e-29  0.26    0.26 
5.37  1.202e-29  0.27    0.27 
5.37  1.318e-29  0.27    0.27 
5.37  1.445e-29  0.27    0.27 
5.37  1.585e-29  0.28    0.28 
5.37  1.738e-29  0.28    0.28 
5.37  1.905e-29  0.29    0.29 
5.37  2.089e-29  0.29    0.29 
5.37  2.291e-29  0.30    0.29 
5.37  2.512e-29  0.31    0.30 
5.37  2.754e-29  0.31    0.31 
5.37  3.020e-29  0.32    0.32 
5.37  3.311e-29  0.33    0.33 
5.37  3.631e-29  0.34    0.33 
5.37  3.981e-29  0.35    0.34 
5.37  4.365e-29  0.36    0.22 
